date,type_id,label,group,index,coverage,skus,baseline_skus,baseline_date
2026-08-16,energy_drink,Enerji içeceği,drinks,100.0,1.0,22,22,2026-08-16
2026-08-16,soda,Gazoz,drinks,100.0,1.0,22,22,2026-08-16
2026-08-16,dish_liquid,Elde bulaşık deterjanı,household_cleaning,100.0,1.0,20,20,2026-08-16
2026-08-16,dishwasher_tabs,Bulaşık makinesi tableti,household_cleaning,100.0,1.0,23,23,2026-08-16
2026-08-16,laundry_powder,Toz çamaşır deterjanı,household_cleaning,,1.0,2,2,2026-08-16
2026-08-16,laundry_liquid,Sıvı çamaşır deterjanı,household_cleaning,100.0,1.0,25,25,2026-08-16
2026-08-16,softener,Yumuşatıcı,household_cleaning,100.0,1.0,10,10,2026-08-16
2026-08-16,bleach,Çamaşır suyu,household_cleaning,100.0,1.0,21,21,2026-08-16
2026-08-16,surface_cleaner,Yüzey temizleyici,household_cleaning,100.0,1.0,23,23,2026-08-16
2026-08-16,garbage_bags,Çöp torbası,household_cleaning,100.0,1.0,24,24,2026-08-16
2026-08-16,sponge,Bulaşık süngeri,household_cleaning,100.0,1.0,20,20,2026-08-16
2026-08-16,cleaning_cloth,Temizlik bezi,household_cleaning,100.0,1.0,20,20,2026-08-16
2026-08-16,shampoo,Şampuan,personal_paper,100.0,1.0,24,24,2026-08-16
2026-08-16,shower_gel,Duş jeli,personal_paper,100.0,1.0,25,25,2026-08-16
2026-08-16,soap_liquid,Sıvı sabun,personal_paper,100.0,1.0,25,25,2026-08-16
2026-08-16,soap_bar,Kalıp sabun,personal_paper,100.0,1.0,22,22,2026-08-16
2026-08-16,toothpaste,Diş macunu,personal_paper,100.0,1.0,23,23,2026-08-16
2026-08-16,toothbrush,Diş fırçası,personal_paper,100.0,1.0,24,24,2026-08-16
2026-08-16,deodorant,Deodorant,personal_paper,100.0,1.0,25,25,2026-08-16
2026-08-16,toilet_paper,Tuvalet kağıdı,personal_paper,100.0,1.0,25,25,2026-08-16
2026-08-16,paper_towel,Kağıt havlu,personal_paper,100.0,1.0,22,22,2026-08-16
2026-08-16,wet_wipes,Islak mendil,personal_paper,100.0,1.0,24,24,2026-08-16
2026-08-16,tissues,Kağıt mendil,personal_paper,100.0,1.0,14,14,2026-08-16
2026-08-17,bread_white,Beyaz ekmek,bread_cereals,,0.0,0,0,2026-08-16
2026-08-17,bread_toast,Tost ekmeği,bread_cereals,100.0,1.0,14,14,2026-08-16
2026-08-17,bread_wholewheat,Tam buğday ekmeği,bread_cereals,100.0,1.0,15,15,2026-08-16
2026-08-17,flour_wheat,Buğday unu,bread_cereals,100.0,1.0,24,24,2026-08-16
2026-08-17,rice,Pirinç,bread_cereals,100.0,0.96,24,25,2026-08-16
2026-08-17,bulgur,Bulgur,bread_cereals,100.0,1.0,25,25,2026-08-16
2026-08-17,pasta_spaghetti,Spagetti makarna,bread_cereals,100.0,1.0,12,12,2026-08-16
2026-08-17,pasta_other,Diğer makarna,bread_cereals,100.0,0.72,18,25,2026-08-16
2026-08-17,vermicelli,Şehriye,bread_cereals,100.0,1.0,20,20,2026-08-16
2026-08-17,oats,Yulaf ezmesi,bread_cereals,100.0,1.0,16,16,2026-08-16
2026-08-17,breakfast_cereal,Kahvaltılık gevrek,bread_cereals,,0.0,0,0,2026-08-16
2026-08-17,semolina,İrmik,bread_cereals,100.0,1.0,17,17,2026-08-16
2026-08-17,beef_mince,Dana kıyma,meat,100.0,0.9167,11,12,2026-08-16
2026-08-17,beef_cubes,Dana kuşbaşı / sote,meat,100.0,0.9091,10,11,2026-08-16
2026-08-17,chicken_breast,Tavuk göğüs,meat,100.0,0.8333,5,6,2026-08-16
2026-08-17,chicken_thigh,Tavuk but / baget,meat,100.0,1.0,12,12,2026-08-16
2026-08-17,whole_chicken,Bütün piliç,meat,99.7328,1.0,16,16,2026-08-16
2026-08-17,turkey,Hindi eti,meat,100.0,1.0,4,4,2026-08-16
2026-08-17,sucuk,Sucuk,meat,100.0,0.96,24,25,2026-08-16
